TimeStamp,test.data8i,test.float_data,test.data,test.address
10319.3,47,764.198,108,760
10319.7,47,764.198,108,760
10319.9,47,764.198,108,760
10320.2,48,763.498,110,750
10320.4,48,763.498,110,750
10320.8,48,763.498,110,750
10321.1,48,763.498,110,750
10321.4,48,763.498,110,750
10321.7,48,763.498,110,750
10321.9,48,763.498,110,750
10322.2,49,762.798,112,740
10322.7,49,762.798,112,740
10323,49,762.798,112,740
10323.2,49,762.798,112,740
10323.5,49,762.798,112,740
10323.8,49,762.798,112,740
10324.1,50,762.098,114,730
10324.3,50,762.098,114,730
10324.7,50,762.098,114,730
10324.9,50,762.098,114,730
10325.2,50,762.098,114,730
10325.4,50,762.098,114,730
10325.8,50,762.098,114,730
10326.1,51,761.398,116,720
10326.3,51,761.398,116,720
10326.7,51,761.398,116,720
10326.9,51,761.398,116,720
10327.2,51,761.398,116,720
10327.4,51,761.398,116,720
10327.8,51,761.398,116,720
10328.1,52,760.698,118,710
10328.3,52,760.698,118,710
10328.7,52,760.698,118,710
10328.9,52,760.698,118,710
10329.2,52,760.698,118,710
10329.5,52,760.698,118,710
10329.8,52,760.698,118,710
10330.3,53,759.998,120,700
10330.7,53,759.998,120,700
10331,53,759.998,120,700
10331.2,53,759.998,120,700
10331.7,53,759.998,120,700
10332,53,759.998,120,700
10332.2,54,759.298,122,690
10332.4,54,759.298,122,690
10332.9,54,759.298,122,690
10333.1,54,759.298,122,690
10333.4,54,759.298,122,690
10333.8,54,759.298,122,690
10334.1,55,758.598,124,680
10334.3,55,758.598,124,680
10334.7,55,758.598,124,680
10334.9,55,758.598,124,680
10335.2,55,758.598,124,680
10335.4,55,758.598,124,680
10335.8,55,758.598,124,680
10336.1,56,757.898,126,670
10336.4,56,757.898,126,670
10336.7,56,757.898,126,670
10336.9,56,757.898,126,670
10337.2,56,757.898,126,670
10337.5,56,757.898,126,670
10337.8,56,757.898,126,670
10338.1,57,757.198,128,660
10338.4,57,757.198,128,660
10338.7,57,757.198,128,660
10338.9,57,757.198,128,660
10339.2,57,757.198,128,660
10339.4,57,757.198,128,660
10339.8,57,757.198,128,660
10340.1,58,756.497,130,660
10340.3,58,756.497,130,650
10340.7,58,756.497,130,650
10341,58,756.497,130,650
10341.3,58,756.497,130,650
10341.7,58,756.497,130,650
10342,58,756.497,130,650
10342.2,59,755.797,132,640
10342.5,59,755.797,132,640
10342.8,59,755.797,132,640
10343.1,59,755.797,132,640
10343.4,59,755.797,132,640
10343.7,59,755.797,132,640
10343.9,59,755.797,132,640
10344.2,60,755.097,134,630
10344.5,60,755.097,134,630
10344.9,60,755.097,134,630
